                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    178,                0.60329,                0.31377,                0.92779,                  0.966,                0.95164,                0.95971,                0.77514,                0.87834,                0.41769,                 1.0383,              0.0082576,              0.0082576,              0.0082576
                    179,                0.61125,                0.31156,                0.92396,                0.98361,                0.97605,                0.98526,                0.79941,                0.88093,                0.34873,                 1.0358,              0.0082477,              0.0082477,              0.0082477
                    180,                0.60078,                0.31399,                0.91847,                0.96061,                0.97079,                0.98382,                0.79998,                0.88777,                0.37439,                 1.0376,              0.0082378,              0.0082378,              0.0082378
                    181,                0.59971,                0.30919,                0.92246,                0.97305,                0.96622,                0.98449,                0.80165,                0.88249,                0.35836,                 1.0388,              0.0082279,              0.0082279,              0.0082279
                    182,                0.59314,                0.30528,                0.91967,                0.97838,                0.96167,                 0.9781,                0.79457,                0.88361,                 0.3657,                 1.0307,               0.008218,               0.008218,               0.008218
                    183,                0.58982,                0.30879,                0.92061,                0.97831,                 0.9668,                0.98117,                0.79621,                0.88247,                0.36574,                 1.0341,              0.0082081,              0.0082081,              0.0082081
                    184,                0.59819,                0.31261,                0.92247,                0.99135,                0.98025,                0.98755,                0.80051,                0.88687,                0.33523,                 1.0387,              0.0081982,              0.0081982,              0.0081982
                    185,                0.58474,                0.30582,                0.92025,                0.98358,                0.97773,                0.98633,                 0.8039,                0.87645,                0.34367,                 1.0315,              0.0081883,              0.0081883,              0.0081883
                    186,                0.59824,                0.31167,                0.91973,                0.97763,                0.95375,                0.97911,                0.79182,                 0.8734,                0.38084,                 1.0347,              0.0081784,              0.0081784,              0.0081784
                    187,                0.58792,                0.30965,                0.92206,                 0.9842,                0.97582,                0.98678,                0.80173,                0.88168,                0.34629,                 1.0377,              0.0081685,              0.0081685,              0.0081685
                    188,                0.59636,                0.30567,                0.91742,                0.98601,                0.97753,                 0.9857,                0.79546,                0.88743,                0.34479,                 1.0398,              0.0081586,              0.0081586,              0.0081586
                    189,                0.59259,                0.31037,                0.91526,                0.98297,                0.97926,                0.98707,                0.79368,                0.88636,                0.34292,                 1.0461,              0.0081487,              0.0081487,              0.0081487
                    190,                0.58546,                0.30352,                0.91649,                0.98681,                 0.9819,                  0.985,                0.80026,                0.88036,                0.33804,                 1.0436,              0.0081388,              0.0081388,              0.0081388
                    191,                0.58624,                0.30848,                0.91348,                0.98729,                0.98301,                0.98446,                0.80607,                0.86678,                0.33694,                 1.0303,              0.0081289,              0.0081289,              0.0081289
                    192,                0.58411,                 0.3036,                 0.9175,                0.98379,                0.97979,                0.98681,                0.80428,                 0.8731,                0.34251,                 1.0278,               0.008119,               0.008119,               0.008119
                    193,                0.57619,                0.30471,                0.91513,                0.97906,                0.97201,                0.98589,                0.79611,                0.89558,                0.35382,                 1.0379,              0.0081091,              0.0081091,              0.0081091
                    194,                0.58004,                0.30514,                0.91716,                0.98911,                0.97785,                0.98814,                0.80219,                 0.8765,                0.34073,                 1.0327,              0.0080992,              0.0080992,              0.0080992
                    195,                 0.5781,                0.31333,                0.91802,                0.97617,                0.95388,                0.97043,                0.78109,                0.88403,                0.39817,                  1.037,              0.0080893,              0.0080893,              0.0080893
                    196,                0.58087,                0.30454,                0.91089,                0.98602,                0.97692,                 0.9848,                 0.8015,                0.88084,                0.34338,                 1.0327,              0.0080794,              0.0080794,              0.0080794
                    197,                0.58187,                0.30424,                0.91713,                0.97095,                0.96356,                0.97677,                0.78687,                0.89022,                0.37872,                 1.0368,              0.0080695,              0.0080695,              0.0080695
                    198,                 0.5796,                0.30348,                0.91756,                0.97952,                0.95674,                0.98487,                0.78664,                 0.9141,                0.37853,                  1.045,              0.0080596,              0.0080596,              0.0080596
                    199,                0.57123,                0.30048,                0.91397,                0.99039,                0.97903,                0.98648,                 0.8009,                0.88426,                0.33421,                 1.0417,              0.0080497,              0.0080497,              0.0080497
                    200,                 0.5737,                0.29771,                 0.9109,                0.98396,                0.97778,                0.98505,                0.79639,                 0.8943,                0.33716,                 1.0501,              0.0080398,              0.0080398,              0.0080398
                    201,                0.56107,                0.29448,                0.90951,                0.99323,                0.98456,                0.98729,                0.79923,                0.88798,                0.33321,                 1.0533,              0.0080299,              0.0080299,              0.0080299
                    202,                0.55319,                0.29536,                 0.9065,                0.98206,                0.96694,                0.98218,                0.79092,                0.89966,                0.37315,                 1.0508,                0.00802,                0.00802,                0.00802
                    203,                0.55165,                0.29319,                0.91105,                0.98622,                0.97976,                0.98565,                0.79683,                0.89248,                0.33595,                 1.0484,              0.0080101,              0.0080101,              0.0080101
                    204,                0.56189,                0.29745,                0.90734,                0.98783,                0.98338,                0.98687,                0.79837,                0.88667,                0.33733,                 1.0468,              0.0080002,              0.0080002,              0.0080002
                    205,                 0.5604,                 0.2965,                0.90673,                0.99177,                0.98348,                0.98691,                0.80164,                0.88851,                0.33256,                 1.0503,              0.0079903,              0.0079903,              0.0079903
                    206,                 0.5678,                0.29339,                0.91424,                0.98364,                0.97163,                0.98586,                0.80116,                0.88235,                0.34945,                 1.0481,              0.0079804,              0.0079804,              0.0079804
